goto                                   60 hits    12 files
labels                                211 hits    49 files
infinite_loop                          27 hits    18 files
do_while_0                              4 hits     1 files
empty_then                             10 hits     6 files
if_else_ladder_num                     65 hits    34 files
single_stmt_nested_if                 135 hits    53 files
stack_named_locals                    494 hits    97 files
temp_phi_var_locals                    61 hits     4 files
arg_params                            347 hits    29 files
unnamed_funcs                         407 hits    26 files
unnamed_data                          416 hits    41 files
register_keyword                      106 hits    14 files
matching_comments                      41 hits    30 files
avoid_ub_macros                        17 hits     4 files
unused_macro                         1128 hits   171 files
filler_fields                         455 hits   101 files
volatile_kw                            18 hits     7 files
raw_byte_pointer                      181 hits    34 files
type_pun_deref                          5 hits     2 files
rawdata_union                          34 hits     6 files
bit_masking_16                        113 hits    44 files
hex_magic                            5205 hits   266 files
angle_constants                       675 hits   147 files
bool_vs_TRUEFALSE                     202 hits    60 files
cmp_zero                             1015 hits   209 files
return_bool_cmp                         0 hits     0 files
cast_s16                              197 hits    70 files
cast_s32                              516 hits    87 files
cast_f32                              230 hits    54 files
double_literals                      1494 hits   130 files
shift_as_mul                          363 hits    69 files
div_by_const_float                    338 hits    84 files
todo_bug_comments                     430 hits   101 files
