goto                                   63 hits    25 files
labels                                357 hits   153 files
infinite_loop                          71 hits    37 files
do_while_0                              0 hits     0 files
empty_then                             75 hits    57 files
if_1                                    9 hits     9 files
if_else_ladder_num                    397 hits   136 files
single_stmt_nested_if               27470 hits   682 files
matching_comments                      91 hits    60 files
avoid_ub                               14 hits     1 files
volatile_kw                            15 hits     2 files
register_keyword                       56 hits    37 files
stack_named_locals                  10087 hits   215 files
arg_params                           1767 hits   120 files
unused_macro                            1 hits     1 files
filler_fields                       11789 hits   580 files
unk_names                           14448 hits   481 files
bool_vs_TRUEFALSE                     136 hits    36 files
cmp_zero                             6491 hits   522 files
todo_bug_comments                     213 hits    81 files
rawdata_union                        1052 hits   151 files
bit_masking_16                         87 hits    35 files
shift_as_mul                          680 hits   143 files
byte_pointers                         255 hits    53 files
angle_constants                     13730 hits   868 files
hex_magic                           25378 hits  1113 files
cast_s16                             1051 hits   213 files
cast_s32                              442 hits   129 files
cast_f32                              370 hits   101 files
double_literals                       361 hits   118 files
div_const                             995 hits   209 files
binang_deg                            212 hits    15 files
