soh_file	kind	index	soh_name	oot_name	verdict	body_match
soh/src/boot/idle.c	data	6	D_80013960	D_80013960	BOTH	0.00
soh/src/boot/idle.c	data	7	D_80009430	D_80009430	BOTH	0.00
soh/src/boot/z_locale.c	func	2	func_80001F48	func_80001F48	BOTH	0.00
soh/src/boot/z_locale.c	func	3	func_80001F8C	func_80001F8C	BOTH	0.00
soh/src/code/PreRender.c	func	6	func_800C170C	func_800C170C	BOTH	0.00
soh/src/code/PreRender.c	func	7	func_800C1AE8	func_800C1AE8	BOTH	0.00
soh/src/code/PreRender.c	func	14	func_800C213C	func_800C213C	BOTH	0.00
soh/src/code/PreRender.c	func	18	func_800C2FE4	func_800C2FE4	BOTH	0.00
soh/src/code/audio_data.c	data	5	D_8012EA90	-	UNSAFE	0.00
soh/src/code/audio_data.c	data	17	D_8012FBA4	D_8012FBA4	BOTH	0.00
soh/src/code/audio_data.c	data	18	D_8012FBA8	D_8012FBA8	BOTH	0.00
soh/src/code/audio_data.c	data	24	D_80130418	-	UNSAFE	0.00
soh/src/code/audio_general.c	func	45	func_800F3138	func_800F3138	BOTH	0.00
soh/src/code/audio_general.c	func	46	func_800F3140	func_800F3140	BOTH	0.00
soh/src/code/audio_general.c	func	47	func_800F314C	func_800F314C	BOTH	0.00
soh/src/code/audio_general.c	func	52	func_800F37B8	func_800F37B8	BOTH	0.00
soh/src/code/audio_general.c	func	53	func_800F3990	func_800F3990	BOTH	0.00
soh/src/code/audio_general.c	func	58	func_800F3F84	func_800F3F84	BOTH	0.00
soh/src/code/audio_general.c	func	59	func_800F4010	func_800F4010	BOTH	0.00
soh/src/code/audio_general.c	func	60	func_800F4138	func_800F4138	BOTH	0.00
soh/src/code/audio_general.c	func	61	func_800F4190	func_800F4190	BOTH	0.00
soh/src/code/audio_general.c	func	64	func_800F436C	func_800F436C	BOTH	0.00
soh/src/code/audio_general.c	func	65	func_800F4414	func_800F4414	BOTH	0.00
soh/src/code/audio_general.c	func	66	func_800F44EC	func_800F44EC	BOTH	0.00
soh/src/code/audio_general.c	func	67	func_800F4524	func_800F4524	BOTH	0.00
soh/src/code/audio_general.c	func	68	func_800F4578	func_800F4578	BOTH	0.00
soh/src/code/audio_general.c	func	69	func_800F45D0	func_800F45D0	BOTH	0.00
soh/src/code/audio_general.c	func	83	func_800F4C58	func_800F4C58	BOTH	0.00
soh/src/code/audio_general.c	func	84	func_800F4E30	func_800F4E30	BOTH	0.00
soh/src/code/audio_general.c	func	99	func_800F5ACC	func_800F5ACC	BOTH	0.00
soh/src/code/audio_general.c	func	102	func_800F5BF0	func_800F5BF0	BOTH	0.00
soh/src/code/audio_general.c	func	103	func_800F5C2C	func_800F5C2C	BOTH	0.00
soh/src/code/audio_general.c	func	110	func_800F64E0	func_800F64E0	BOTH	0.00
soh/src/code/audio_general.c	func	120	func_800F6964	func_800F6964	BOTH	0.00
soh/src/code/audio_general.c	func	122	func_800F6B3C	func_800F6B3C	BOTH	0.00
soh/src/code/audio_general.c	func	124	func_800F6BB8	func_800F6BB8	BOTH	0.00
soh/src/code/audio_general.c	func	125	func_800F6BDC	func_800F6BDC	BOTH	0.00
soh/src/code/audio_general.c	func	133	func_800F7170	func_800F7170	BOTH	0.00
soh/src/code/audio_general.c	func	134	func_800F71BC	func_800F71BC	BOTH	0.00
soh/src/code/audio_general.c	func	135	func_800F7208	func_800F7208	BOTH	0.00
